node,degree,closeness,betweenness,eigenvector,pagerank
7188,0.00026441036488630354,0.0,0.0,2.968291719908565e-23,0.00026441036488630354
1,0.23479640401903754,0.3595323349171934,0.14546267151666745,0.15063698042141432,0.23479640401903754
430,0.003966155473294554,0.24465347675016258,0.0005438085044583775,0.0038798990397556376,0.003966155473294554
3134,0.0018508725542041248,0.2717084383163478,2.5628871579984947e-06,0.009151675570546329,0.0018508725542041248
3026,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
3010,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
804,0.0037017451084082496,0.27627519111289733,5.047121793294627e-05,0.013204661066665452,0.0037017451084082496
160,0.005023796932839768,0.26802935008893086,0.0003908816027706424,0.006571747294653383,0.005023796932839768
95,0.05896351136964569,0.33796125939432703,0.013686073540463545,0.11930276499208273,0.05896351136964569
377,0.0021152829190904283,0.25418916570651273,0.00029608233930400864,0.0037368519973971013,0.0021152829190904283
888,0.002379693283976732,0.2590859797569009,0.00015271457257052498,0.0051525093117420285,0.002379693283976732
89,0.025118984664198835,0.3108286845496647,0.00520137309280906,0.03843017295044321,0.025118984664198835
1901,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
161,0.01877313590692755,0.29142807614127714,0.0007416278845531823,0.03178689209389204,0.01877313590692755
256,0.015864621893178214,0.30088030340212135,0.008494035851169594,0.029159623114319754,0.015864621893178214
351,0.007932310946589107,0.28038142587357784,0.0006795681288205878,0.01774836514645741,0.007932310946589107
3329,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
3341,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
649,0.007139079851930196,0.2828359624051739,0.0003226257908958678,0.020291852016175147,0.007139079851930196
1583,0.0005288207297726071,0.25382190666268895,0.0,0.0036464890679460665,0.0005288207297726071
87,0.0298783712321523,0.31027969912602027,0.004863153048287533,0.05258935067703241,0.0298783712321523
37,0.026441036488630353,0.31014275564190863,0.005246066968135692,0.04748629776528161,0.026441036488630353
309,0.012162876784769964,0.2953166415615274,0.0010950130658497917,0.029387893722841382,0.012162876784769964
821,0.0021152829190904283,0.26237503914707533,5.759348954799139e-05,0.005342160806019884,0.0021152829190904283
